[2014-02-16 22:33:25] Finished 26 battle, 54 sec this time, 1737 sec total
[2014-02-16 22:35:05] Finished 27 battle, 59 sec this time, 1837 sec total
[2014-02-16 22:35:56] Finished 28 battle, 44 sec this time, 1888 sec total
[2014-02-16 22:37:11] Finished 29 battle, 69 sec this time, 1963 sec total
[2014-02-16 22:38:48] Finished 30 battle, 74 sec this time, 2060 sec total
[2014-02-16 22:39:48] Finished 31 battle, 54 sec this time, 2120 sec total
[2014-02-16 22:40:47] Finished 32 battle, 53 sec this time, 2179 sec total
[2014-02-16 22:41:47] Finished 33 battle, 54 sec this time, 2239 sec total
[2014-02-16 22:42:53] Finished 34 battle, 60 sec this time, 2305 sec total
[2014-02-16 22:43:59] Finished 35 battle, 60 sec this time, 2371 sec total
[2014-02-16 22:45:00] Finished 36 battle, 53 sec this time, 2432 sec total
[2014-02-16 22:45:58] Finished 37 battle, 51 sec this time, 2490 sec total
[2014-02-16 22:47:08] Finished 38 battle, 61 sec this time, 2560 sec total
[2014-02-16 22:48:10] Finished 39 battle, 53 sec this time, 2622 sec total
[2014-02-16 22:49:12] Finished 40 battle, 57 sec this time, 2684 sec total
[2014-02-16 22:50:24] Finished 41 battle, 66 sec this time, 2756 sec total
[2014-02-16 22:51:24] Finished 42 battle, 54 sec this time, 2816 sec total
[2014-02-16 22:52:19] Finished 43 battle, 49 sec this time, 2871 sec total
[2014-02-16 22:53:22] Finished 44 battle, 56 sec this time, 2934 sec total
[2014-02-16 22:54:34] Finished 45 battle, 66 sec this time, 3006 sec total
[2014-02-16 22:55:47] Finished 46 battle, 68 sec this time, 3079 sec total
[2014-02-16 22:56:54] Finished 47 battle, 59 sec this time, 3146 sec total
[2014-02-16 22:58:13] Finished 48 battle, 67 sec this time, 3225 sec total
[2014-02-16 22:59:36] Finished 49 battle, 76 sec this time, 3308 sec total
[2014-02-16 23:01:16] Finished 50 battle, 86 sec this time, 3408 sec total
[2014-02-16 23:02:48] Finished 51 battle, 71 sec this time, 3500 sec total
[2014-02-16 23:04:21] Finished 52 battle, 87 sec this time, 3593 sec total
[2014-02-16 23:05:32] Finished 53 battle, 58 sec this time, 3664 sec total
[2014-02-16 23:06:28] Finished 54 battle, 49 sec this time, 3720 sec total
[2014-02-16 23:07:23] Finished 55 battle, 49 sec this time, 3775 sec total
[2014-02-16 23:08:32] Finished 56 battle, 64 sec this time, 3844 sec total
[2014-02-16 23:09:32] Finished 57 battle, 51 sec this time, 3904 sec total
[2014-02-16 23:10:56] Finished 58 battle, 78 sec this time, 3988 sec total
[2014-02-16 23:11:51] Finished 59 battle, 50 sec this time, 4043 sec total
[2014-02-16 23:12:54] Finished 60 battle, 57 sec this time, 4106 sec total
[2014-02-16 23:14:23] Finished 61 battle, 64 sec this time, 4195 sec total
[2014-02-16 23:15:30] Finished 62 battle, 61 sec this time, 4262 sec total
[2014-02-16 23:16:30] Finished 63 battle, 53 sec this time, 4322 sec total
[2014-02-16 23:17:39] Finished 64 battle, 57 sec this time, 4391 sec total
[2014-02-16 23:18:49] Finished 65 battle, 60 sec this time, 4461 sec total
[2014-02-16 23:19:51] Finished 66 battle, 56 sec this time, 4523 sec total
[2014-02-17 00:32:47] Finished 1 battle, 52 sec this time, 52 sec total
